,source,target,weight,info,step8
132,41,29,0.10492963770479624,0,8
133,41,36,0.1120398742712275,0,8
134,41,32,0.15640468790019207,0,8
135,41,42,0.12382839588227093,0,8
136,41,16,0.09103382159909537,0,8
137,41,31,0.14744506197414806,0,8
138,22,49,0.01720870578792188,0,8
139,22,4,0.030450844007475886,0,8
140,22,46,0.03263626167112374,0,8
141,22,47,0.043432746491028976,0,8
142,22,29,0.05107298691955721,0,8
143,22,37,0.07848519216882831,0,8
144,22,23,0.034844691494797284,0,8
145,22,16,0.0790567669841683,0,8
146,49,22,-0.3469052535807655,0,8
147,49,43,-0.3296686142709235,0,8
148,49,10,-0.24216812267425764,0,8
149,49,25,-0.32566941287704976,0,8
150,49,15,-0.45040867802171736,0,8
151,49,40,-0.44188801053271687,0,8
152,49,48,-0.6149780947016732,0,8
153,49,28,-0.9829881781069629,0,8
154,43,29,0.7688607902414464,0,8
155,43,49,0.4950765927265336,0,8
156,43,38,0.6519206955781569,0,8
157,43,15,0.3221737591407126,0,8
158,43,18,0.6656552636207179,0,8
159,43,16,0.7879491953548972,0,8
160,43,12,0.40498043171871,0,8
161,43,1,0.7535625148310885,0,8
162,29,43,0.19196464329978186,0,8
163,29,41,0.3683123689299527,0,8
164,29,44,0.3574771025328851,0,8
165,29,22,0.5360086734678906,0,8
166,29,46,0.4582099028916373,0,8
167,29,15,1.2727914952409782,0,8
168,29,33,1.2310837775647263,0,8
169,19,42,-0.3741573059979303,0,8
170,19,25,-0.20716163216182537,0,8
171,19,13,-0.3873734291099519,0,8
172,19,1,-0.2643601318376142,0,8
173,19,23,-0.3420768188858544,0,8
174,19,17,-0.27459607844667455,0,8
175,19,6,-0.3807202360731545,0,8
176,19,18,-0.28830397131233954,0,8
177,42,19,0.441112396600687,0,8
178,42,27,0.4179331299760931,0,8
179,42,33,0.32517305298594346,0,8
180,42,0,0.4267331240111273,0,8
181,42,47,0.2444346318603433,0,8
182,42,41,0.42957474297233855,0,8
183,42,3,0.4495619582014484,0,8
184,42,15,0.3741062287001099,0,8
185,40,35,0.13771749509773226,0,8
186,40,15,0.0854008427609006,0,8
187,40,48,0.1656661121235034,0,8
188,40,31,0.1493192513869929,0,8
189,40,16,0.08355039490673577,0,8
190,40,49,0.1692985930187862,0,8
191,40,9,0.11344635872451406,0,8
192,40,3,0.14740954443056722,0,8
193,35,40,-0.3374111478712407,0,8
194,35,3,-0.3583566803257691,0,8
195,35,24,-0.2805882680705377,0,8
196,35,12,-0.31681342378789706,0,8
197,35,13,-0.3155896279936967,0,8
198,35,45,-0.3217912066680637,0,8
199,35,44,-0.20603521100203515,0,8
200,35,14,-0.24405543738993155,0,8
201,1,26,0.7826872155519744,0,8
202,1,38,0.8931244386078061,0,8
203,1,5,0.3908422237096811,0,8
204,1,19,0.9365828513470225,0,8
205,1,10,1.005305128043165,0,8
206,1,44,0.3974537007912906,0,8
207,1,33,0.8544566207442428,0,8
208,1,43,0.7997783749600897,0,8
209,26,1,0.6426853631818519,0,8
210,26,48,0.6096053840592389,0,8
211,26,9,0.5339304129499418,0,8
212,26,2,0.6278981249977158,0,8
213,26,17,0.5808348699597019,0,8
214,26,23,0.4838186657580352,0,8
215,26,14,0.42999939923268315,0,8
216,26,13,0.6213028986147942,0,8
217,9,33,-0.7767056906955487,0,8
218,9,16,-0.7585871386009144,0,8
219,9,26,-0.757245977067192,0,8
220,9,24,-0.4092561431157575,0,8
221,9,5,-0.9156988450649699,0,8
222,9,13,-0.7319373961071823,0,8
223,9,40,-1.0053692532273368,0,8
224,9,37,-1.0578332367697287,0,8
225,33,9,-0.4437012743633499,0,8
226,33,24,-0.5258822243559885,0,8
227,33,42,-0.21740007595765964,0,8
228,33,10,-0.4533885360148159,0,8
229,33,31,-0.5689652516912729,0,8
230,33,2,-0.4851920730071194,0,8
231,33,1,-0.417748667524622,0,8
232,33,29,-0.921985536485553,0,8
233,10,18,0.5535434161549375,0,8
234,10,20,0.4083261110731722,0,8
235,10,49,0.6033005186112449,0,8
236,10,33,0.5195517969075327,0,8
237,10,1,0.3844797581054082,0,8
238,10,31,0.6390849938724872,0,8
239,10,2,0.5412275128787999,0,8
240,10,39,0.52231390876313,0,8
241,18,10,0.021664541262015887,0,8
242,18,5,0.035481003728803334,0,8
243,18,31,0.0362650815766041,0,8
244,18,37,0.02744930947952109,0,8
245,18,43,0.023610148179015522,0,8
246,18,11,0.039388736752584544,0,8
247,18,27,0.05326412743129407,0,8
248,18,19,0.05496557722494484,0,8
249,20,24,0.2335037140152703,0,8
250,20,10,0.5492026867499454,0,8
251,20,39,0.6185406254868353,0,8
252,20,48,0.4297544328924051,0,8
253,20,36,0.46970993771220343,0,8
254,20,25,0.9265367601284649,0,8
255,20,32,1.1513501386019853,0,8
256,24,20,1.2007619949175758,0,8
257,24,33,0.8910231546287519,0,8
258,24,35,1.4296760311383925,0,8
259,24,9,1.7369957853771438,0,8
260,24,28,1.6810471456543021,0,8
261,24,13,1.6597778351980785,0,8
262,24,8,1.4784531979480358,0,8
263,16,14,0.14035858253745093,0,8
264,16,9,0.10999722411395199,0,8
265,16,21,0.16525103818722248,0,8
266,16,39,0.17973551486021394,0,8
267,16,40,0.17090006156724613,0,8
268,16,43,0.13189443754086,0,8
269,16,41,0.3281350928049566,0,8
270,16,22,0.16353219171024386,0,8
271,14,16,-0.209490332853719,0,8
272,14,46,-0.4980123819081216,0,8
273,14,32,-0.38098056138270886,0,8
274,14,30,-0.5313414003332056,0,8
275,14,25,-0.5180195931625104,0,8
276,14,8,-1.0688207175319138,0,8
277,14,26,-1.317858989369395,0,8
